Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,SH_kc_H2O_2_3,SH,kc,MUBph,SH_kc,B,3,Sample,500279.4,18749.427,NA,0.049601201,4.23,39.27138397
MUBph_315nm,SH_kc_H2O_3_1,SH,kc,MUBph,SH_kc,C,1,Sample,866129.2435,66067.19314,NA,0.085874115,4.566666667,366.8519441
MUBph_315nm,SH_kc_H2O_3_2,SH,kc,MUBph,SH_kc,C,2,Sample,585764.6512,41280.11348,NA,0.058076807,5.056666667,1663.105135
MUBph_315nm,SH_kc_H2O_3_3,SH,kc,MUBph,SH_kc,C,3,Sample,539366.9256,21325.93458,NA,0.053476612,4.216666667,36.39488738
MUBph_315nm,SH_MB_H2O_1_1,SH,MB,MUBph,SH_MB,A,1,Sample,5159716.8,228848.1895,NA,0.511570437,4.836666667,5100.466871
MUBph_315nm,SH_MB_H2O_1_2,SH,MB,MUBph,SH_MB,A,2,Sample,5050643.062,257194.7922,NA,0.500756103,5,2610.098517
MUBph_315nm,SH_MB_H2O_1_3,SH,MB,MUBph,SH_MB,A,3,Sample,4034783.467,128879.907,NA,0.400036673,4.546666667,64.65101685
MUBph_315nm,SH_MB_H2O_2_1,SH,MB,MUBph,SH_MB,B,1,Sample,5425959.9,274201.9077,NA,0.537967642,4.8,303.4155091
MUBph_315nm,SH_MB_H2O_2_2,SH,MB,MUBph,SH_MB,B,2,Sample,4547235.495,238753.6016,NA,0.450844754,5.216666667,370.9568047
MUBph_315nm,SH_MB_H2O_2_3,SH,MB,MUBph,SH_MB,B,3,Sample,4566489.948,148186.0229,NA,0.452753775,4.476666667,145.7379565
MUBph_315nm,SH_MB_H2O_3_1,SH,MB,MUBph,SH_MB,C,1,Sample,5210153.105,189433.486,NA,0.516571045,4.576666667,112.3944648
MUBph_315nm,SH_MB_H2O_3_2,SH,MB,MUBph,SH_MB,C,2,Sample,4573129.471,244976.8867,NA,0.453412064,5.233333333,487.9121087
